Instrument,InstrumentSub,Sector,"Periode ",waarde
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-01,178744
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-02,179109
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-03,179189
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-04,180772
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-05,180102
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-06,180686
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-07,180293
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-08,180666
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-09,179909
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-10,182446
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-11,181845
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2003-12,180471
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-01,181486
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-02,180842
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-03,181365
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-04,182226
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-05,183344
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-06,184077
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-07,184675
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-08,186423
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-09,187897
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-10,189440
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-11,188194
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2004-12,187774
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-01,189409
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-02,190200
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-03,190961
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-04,191605
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-05,192899
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-06,194074
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-07,195705
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-08,196984
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-09,198849
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-10,199448
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-11,200751
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2005-12,203183
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-01,204699
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-02,206833
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-03,209215
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-04,210191
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-05,214134
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-06,214534
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-07,213748
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-08,214088
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-09,216582
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-10,219077
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-11,220209
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2006-12,219114
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-01,223540
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-02,226638
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-03,230336
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-04,230145
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-05,234457
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-06,238117
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-07,241667
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-08,243651
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-09,244254
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-10,247811
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-11,247672
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2007-12,250478
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-01,254088
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-02,257221
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-03,262509
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-04,266543
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-05,270756
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-06,273566
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-07,277065
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-08,278224
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-09,278242
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-10,280238
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-11,281396
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2008-12,281203
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-01,283394
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-02,285648
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-03,285553
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-04,287103
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-05,289069
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-06,290177
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-07,290536
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-08,289664
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-09,290563
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-10,292169
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-11,291939
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2009-12,288211
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-01,291735
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-02,293366
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-03,293687
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-04,296074
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-05,297711
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-06,295359
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-07,297418
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-08,297196
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-09,296666
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-10,296474
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-11,296280
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2010-12,297306
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-01,299328
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-02,298940
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-03,299160
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-04,300910
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-05,301583
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-06,302093
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-07,303992
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-08,304509
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-09,304149
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-10,304930
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-11,303816
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2011-12,304375
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-01,305937
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-02,306178
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-03,305828
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-04,307398
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-05,308367
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-06,308163
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-07,310251
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-08,309943
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-09,306358
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-10,307891
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-11,307893
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2012-12,304862
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-01,305980
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-02,306614
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-03,305855
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-04,306008
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-05,305760
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-06,305554
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-07,305023
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-08,304210
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-09,300403
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-10,301123
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-11,301330
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2013-12,297508
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-01,296985
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-02,296258
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-03,294058
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-04,294508
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-05,293806
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-06,291955
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-07,291702
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-08,291229
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-09,290052
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-10,288822
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-11,285857
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2014-12,281640
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-01,284460
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-02,282782
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-03,280573
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-04,281349
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-05,280642
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-06,278426
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-07,276987
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-08,274422
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-09,273319
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-10,273161
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-11,272045
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2015-12,270861
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-01,273238
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-02,272999
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-03,270861
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-04,270616
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-05,270567
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-06,269988
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-07,269043
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-08,268697
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-09,266559
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-10,266795
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-11,264198
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2016-12,265736
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-01,266073
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-02,265719
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-03,265559
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-04,266371
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-05,264367
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-06,262292
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-07,261973
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-08,261400
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-09,261387
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-10,260751
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-11,260055
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2017-12,259302
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-01,261387
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-02,262821
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-03,262764
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-04,262777
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-05,261832
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-06,260709
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-07,261691
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-08,260471
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-09,259767
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-10,259609
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-11,258178
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2018-12,254834
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-01,256016
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-02,256433
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-03,255361
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-04,256439
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-05,255662
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-06,253367
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-07,253573
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-08,253165
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-09,253475
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-10,253104
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-11,253867
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2019-12,251513
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2020-01,255130
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2020-02,255384
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2020-03,260031
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2020-04,261948
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2020-05,259931
"Zakelijke kredietverlening ","Uitstaande bedragen (mln euro's) ","Niet-financiële bedrijven ",2020-06,258728
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1956-12,485
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-01,483
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-02,490
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-03,497
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-04,502
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-05,510
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-06,513
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-07,517
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-08,519
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-09,522
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-10,526
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-11,530
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1957-12,527
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-01,529
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-02,531
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-03,533
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-04,537
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-05,543
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-06,544
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-07,550
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-08,556
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-09,563
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-10,573
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-11,580
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1958-12,579
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-01,585
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-02,591
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-03,603
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-04,612
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-05,625
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-06,636
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-07,647
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-08,658
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-09,671
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-10,685
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-11,698
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1959-12,700
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-01,709
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-02,720
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-03,734
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-04,748
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-05,762
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-06,774
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-07,791
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-08,803
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-09,817
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-10,834
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-11,851
"Woninghypotheken ","Uitstaande bedragen (mln euro's) ","Huishoudens ",1960-12,853
